套件名稱,引用套件名稱,套件 Repo URL,License 名稱,License URL,備註
sidekiq-pro,[直接依賴],https://github.com/jorge-d/sidekiq-pro-fake,MIT License,https://github.com/jorge-d/sidekiq-pro-fake/blob/master/LICENSE.txt,
Ascii85,pdf-reader,https://github.com/datawraith/ascii85gem,MIT License,https://github.com/datawraith/ascii85gem/blob/master/LICENSE,
aasm,[直接依賴],https://github.com/aasm/aasm,MIT License,https://github.com/aasm/aasm/blob/master/LICENSE,
actioncable,rails,https://github.com/rails/rails,MIT License,https://github.com/rails/rails/blob/main/MIT-LICENSE,
actionmailbox,rails,https://github.com/rails/rails,MIT License,https://github.com/rails/rails/blob/main/MIT-LICENSE,
actionmailer,rails,https://github.com/rails/rails,MIT License,https://github.com/rails/rails/blob/main/MIT-LICENSE,
actionpack,"actioncable, actionmailbox, actionmailer, actiontext, activestorage, lograge, rails, rails-controller-testing, railties, responders, rspec-rails, sprockets-rails",https://github.com/rails/rails,MIT License,https://github.com/rails/rails/blob/main/MIT-LICENSE,
actiontext,rails,https://github.com/rails/rails,MIT License,https://github.com/rails/rails/blob/main/MIT-LICENSE,
actionview,"actionmailer, actionpack, kaminari-actionview, rails, rails-controller-testing",https://github.com/rails/rails,MIT License,https://github.com/rails/rails/blob/main/MIT-LICENSE,
activejob,"actionmailbox, actionmailer, activestorage, rails",https://github.com/rails/rails,MIT License,https://github.com/rails/rails/blob/main/MIT-LICENSE,
activemodel,"activerecord, rails",https://github.com/rails/rails,MIT License,https://github.com/rails/rails/blob/main/MIT-LICENSE,
activerecord,"actionmailbox, actiontext, activerecord-import, activestorage, acts-as-taggable-on, database_cleaner-active_record, kaminari-activerecord, rails",https://github.com/rails/rails,MIT License,https://github.com/rails/rails/blob/main/MIT-LICENSE,
activerecord-import,[直接依賴],https://github.com/zdennis/activerecord-import,MIT License,https://github.com/zdennis/activerecord-import/blob/master/LICENSE,
activestorage,"actionmailbox, actiontext, rails",https://github.com/rails/rails,MIT License,https://github.com/rails/rails/blob/main/MIT-LICENSE,
activesupport,"actioncable, actionmailbox, actionmailer, actionpack, actiontext, actionview, activejob, activemodel, activerecord, activestorage, factory_bot, globalid, grape-entity, kaminari, lograge, rails, rails-controller-testing, rails-dom-testing, railties, rspec-rails, sprockets-rails, wicked_pdf",https://github.com/rails/rails,MIT License,https://github.com/rails/rails/blob/main/MIT-LICENSE,
acts-as-taggable-on,[直接依賴],https://github.com/mbleigh/acts-as-taggable-on,MIT License,https://github.com/mbleigh/acts-as-taggable-on/blob/master/LICENSE.md,
afm,pdf-reader,https://github.com/halfbyte/afm,MIT License,https://github.com/halfbyte/afm/blob/main/LICENSE,
