套件名稱,引用套件名稱,套件 Repo URL,License 名稱,License URL,備註
@adobe/css-tools,,https://github.com/adobe/css-tools,MIT License,https://github.com/adobe/css-tools/blob/main/LICENSE,
@babel/code-frame,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/compat-data,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/core,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/eslint-parser,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/generator,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/helper-annotate-as-pure,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/helper-compilation-targets,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/helper-create-class-features-plugin,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/helper-create-regexp-features-plugin,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/helper-define-polyfill-provider,,https://github.com/babel/babel-polyfills,MIT License,https://github.com/babel/babel-polyfills/blob/main/LICENSE,
@babel/helper-globals,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/helper-member-expression-to-functions,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/helper-module-imports,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/helper-module-transforms,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/helper-optimise-call-expression,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/helper-plugin-utils,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/helper-remap-async-to-generator,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/helper-replace-supers,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/helper-skip-transparent-expression-wrappers,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
